trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.1, 'e': 0.9976888907533621}",25,0,-110.98958548972135,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
69,False,"{'a': 0.1, 'e': 0.9976204443135014}",20,0,-68.25868077434089,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
70,False,"{'a': 0.1, 'e': 0.9975510002532796}",25,0,-72.95077076134038,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
71,False,"{'a': 0.1, 'e': 0.9974805586421406}",20,0,-138.25490076898217,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
72,False,"{'a': 0.1, 'e': 0.9974091195505261}",30,0,-158.68203159572886,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
73,False,"{'a': 0.1, 'e': 0.9973366830498752}",30,0,-206.02335358637137,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 2}",0
74,False,"{'a': 0.1, 'e': 0.9972632492126244}",20,0,-160.01390212898485,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
75,False,"{'a': 0.1, 'e': 0.9971888181122075}",20,0,-63.158101861701354,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.9971133898230555}",20,0,-123.90240503262352,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
77,False,"{'a': 0.1, 'e': 0.9970369644205967}",30,0,-136.45927389603767,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
78,False,"{'a': 0.1, 'e': 0.9969595419812568}",20,0,-165.5711211157213,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
79,False,"{'a': 0.1, 'e': 0.9968811225824579}",25,0,-98.30240651582244,"{0: 14, 1: 7, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.1, 'e': 0.9968017063026194}",20,0,-103.91182151380501,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
